07-04-2026 13:14:14 | DELETE | cafeteria-api/categorias/15
07-04-2026 13:14:15 | DELETE | cafeteria-api/categorias/15
07-04-2026 13:14:15 | DELETE | cafeteria-api/categorias/15
07-04-2026 13:14:28 | GET | cafeteria-api/categorias
07-04-2026 13:14:29 | GET | cafeteria-api/produtos
07-04-2026 13:14:48 | POST | cafeteria-api/produtos
07-04-2026 13:14:48 | GET | cafeteria-api/produtos
07-04-2026 13:14:50 | OPTIONS | cafeteria-api/produtos/18
07-04-2026 13:14:50 | DELETE | cafeteria-api/produtos/18
07-04-2026 13:14:50 | GET | cafeteria-api/produtos
07-04-2026 13:14:55 | GET | cafeteria-api/categorias
07-04-2026 13:14:57 | OPTIONS | cafeteria-api/categorias/15
07-04-2026 13:14:57 | DELETE | cafeteria-api/categorias/15
07-04-2026 13:17:16 | GET | cafeteria-api/categorias
07-04-2026 13:17:17 | OPTIONS | cafeteria-api/categorias/15
07-04-2026 13:17:17 | DELETE | cafeteria-api/categorias/15
07-04-2026 13:17:17 | GET | cafeteria-api/categorias
07-04-2026 13:18:54 | GET | cafeteria-api/categorias
07-04-2026 13:19:01 | POST | cafeteria-api/categorias
07-04-2026 13:19:01 | GET | cafeteria-api/categorias
07-04-2026 13:19:02 | OPTIONS | cafeteria-api/categorias/16
07-04-2026 13:19:02 | DELETE | cafeteria-api/categorias/16
07-04-2026 13:19:02 | GET | cafeteria-api/categorias
07-04-2026 13:19:03 | OPTIONS | cafeteria-api/categorias/15
07-04-2026 13:19:03 | DELETE | cafeteria-api/categorias/15
07-04-2026 13:19:04 | DELETE | cafeteria-api/categorias/15
07-04-2026 13:19:04 | DELETE | cafeteria-api/categorias/15
07-04-2026 13:19:05 | DELETE | cafeteria-api/categorias/15
07-04-2026 13:19:07 | OPTIONS | cafeteria-api/categorias/12
07-04-2026 13:19:07 | DELETE | cafeteria-api/categorias/12
07-04-2026 13:19:07 | GET | cafeteria-api/categorias
07-04-2026 13:19:09 | OPTIONS | cafeteria-api/categorias/11
07-04-2026 13:19:09 | DELETE | cafeteria-api/categorias/11
07-04-2026 13:19:09 | GET | cafeteria-api/categorias
07-04-2026 13:19:09 | OPTIONS | cafeteria-api/categorias/15
07-04-2026 13:19:09 | DELETE | cafeteria-api/categorias/15
07-04-2026 13:19:16 | OPTIONS | cafeteria-api/categorias/15
07-04-2026 13:19:16 | DELETE | cafeteria-api/categorias/15
07-04-2026 13:19:27 | GET | cafeteria-api/produtos
07-04-2026 13:19:37 | POST | cafeteria-api/produtos
07-04-2026 13:19:37 | GET | cafeteria-api/produtos
07-04-2026 13:19:39 | OPTIONS | cafeteria-api/produtos/19
07-04-2026 13:19:39 | DELETE | cafeteria-api/produtos/19
07-04-2026 13:19:39 | GET | cafeteria-api/produtos
07-04-2026 13:19:40 | GET | cafeteria-api/produtos
07-04-2026 13:19:47 | GET | cafeteria-api/categorias
07-04-2026 13:20:00 | OPTIONS | cafeteria-api/categorias/15
07-04-2026 13:20:00 | DELETE | cafeteria-api/categorias/15
07-04-2026 13:20:25 | POST | cafeteria-api/categorias
07-04-2026 13:20:25 | GET | cafeteria-api/categorias
07-04-2026 13:20:26 | OPTIONS | cafeteria-api/categorias/17
07-04-2026 13:20:26 | DELETE | cafeteria-api/categorias/17
07-04-2026 13:20:26 | GET | cafeteria-api/categorias
07-04-2026 13:21:25 | GET | cafeteria-api/categorias
07-04-2026 13:21:27 | OPTIONS | cafeteria-api/categorias/15
07-04-2026 13:21:27 | DELETE | cafeteria-api/categorias/15
07-04-2026 13:21:27 | GET | cafeteria-api/categorias
07-04-2026 13:21:32 | POST | cafeteria-api/categorias
07-04-2026 13:21:32 | GET | cafeteria-api/categorias
07-04-2026 13:21:33 | OPTIONS | cafeteria-api/categorias/18
07-04-2026 13:21:33 | DELETE | cafeteria-api/categorias/18
07-04-2026 13:21:33 | GET | cafeteria-api/categorias
07-04-2026 13:21:35 | POST | cafeteria-api/categorias
07-04-2026 13:21:35 | GET | cafeteria-api/categorias
07-04-2026 13:21:36 | OPTIONS | cafeteria-api/categorias/19
07-04-2026 13:21:36 | DELETE | cafeteria-api/categorias/19
07-04-2026 13:21:36 | GET | cafeteria-api/categorias
07-04-2026 13:22:36 | POST | cafeteria-api/categorias
07-04-2026 13:22:36 | GET | cafeteria-api/categorias
07-04-2026 13:22:38 | GET | cafeteria-api/categorias
07-04-2026 13:22:38 | GET | cafeteria-api/produtos
07-04-2026 13:22:44 | POST | cafeteria-api/produtos
07-04-2026 13:22:44 | GET | cafeteria-api/produtos
